人格域,候选特质defName,候选特质中文,基础权重,强耦合技能域,说明
战斗域,VTE_Brave,勇敢,3,Melee,近战系高背景强耦合
战斗域,Tough,粗暴,3,Melee,肉搏强身
战斗域,VTE_ThickSkinned,皮糙肉厚,2,Melee,耐受负伤
战斗域,VTE_MartialArtist,武术家,2,Melee,久经格斗
战斗域,VTE_IronStomach,铁胃,1,Plants,战场见血不吐
战斗域,VTE_DrunkenMaster,醉拳,1,Melee,酒武结合
战斗域,ShootingAccuracy,致命射手,3,Shooting,射击系强耦合
战斗域,PainThreshold,耐痛,2,Melee,久战铁军
战斗域,Dodging,闪避,2,Melee,实战闪避
战斗域,VTE_Coward,胆小鬼,2,Shooting,受创怯战(负)
战斗域,VTE_Clumsy,笨手笨脚,2,Melee,训练不足(负)
战斗域,Wimp,懦夫,1,Melee,百战仍懦弱(稀有负)
社交域,Kind,善良,3,Social,高社交倾向
社交域,VTE_Tycoon,商业大亨,2,Social,精于人事场
社交域,VTE_Snob,自命不凡,2,Social,高社交自矜
社交域,Trader,商人,2,Social,商贸谈判
社交域,Diplomat,外交家,2,Social,圆滑口才
社交域,VTE_Vengeful,记仇,2,Social,受欺生恨(负)
社交域,VTE_Anxious,忧虑,2,Social,高压人际(负)
社交域,AnnoyingVoice,恼人的嗓音,1,Social,负面
社交域,Jealous,嫉妒,1,Social,负面
信仰域,Faith,信念坚定,4,Faith,祭司/神职强耦合(鼠族)
信仰域,Occultist,神秘学家,2,Psy,神秘学
情爱域,VTE_Insatiable,花心,2,Social,多段感情(用户触发例)
情爱域,VTE_Prude,专一,2,Social,稳定专情
情爱域,VTE_FunLoving,贪玩,2,Social,享乐向
情爱域,VTE_Wanderlust,旅行家,1,Social,漂泊向
工作域,VTE_Prodigy,天才,3,Research,研究型
工作域,Inventor,发明家,3,Research,研究发散
工作域,VTE_Workaholic,工作狂魔,3,Crafting,工匠型
工作域,Industriousness,勤奋,4,Global,普遍勤勉
工作域,Perfectionist,完美主义,2,Crafting,苛求质量
工作域,Chemist,药剂师,2,Crafting,制药化学
工作域,Gourmet,美厨,3,Cooking,厨艺卓越
工作域,Medic,医者,3,Medicine,医疗高手
工作域,VTE_AbsentMinded,胡思乱想,2,Research,学者散焦
工作域,VTE_Slob,邋遢鬼,2,,负面
工作域,VTE_Submissive,磨洋工,1,,负面
生活域,VTE_CouchPotato,电视迷,2,,宅居娱乐
生活域,VTE_RefinedPalate,美食家,3,Cooking,口味讲究
生活域,Gourmet,美厨,2,Cooking,烹膳
生活域,VTE_Lush,酒鬼,3,Global,嗜酒
生活域,VTE_Stoner,烟鬼,2,,嗜烟
生活域,VTE_Groundbreaker,开拓者,2,Construction,基建
生活域,EatingSpeed,进食速度,1,,快食
身体域,VTE_ThickSkinned,皮糙肉厚,2,,耐受
身体域,VTE_ThinSkinned,细皮嫩肉,2,,易损(负)
身体域,VTE_ColdInclined,嗜冷,2,,冷耐受
身体域,VTE_HeatInclined,嗜热,2,,热耐受
身体域,ColdLover,畏热喜冷,1,,冷偏好
身体域,HeatLover,畏冷喜热,1,,热偏好
身体域,VTE_HeavySleeper,沉睡者,1,,睡眠
身体域,VTE_Insomniac,失眠症,2,,负面
身体域,Nimble,身手敏捷,3,Melee,敏捷
身体域,Immunity,免疫力,3,Medical,强免疫
身体域,Constitution,体质,2,Medical,抗病体质
身体域,QuickSleeper,睡眠轻浅,2,,少睡
灵能域,PsychicSensitivity,灵能敏感,3,Psy,灵能体质
灵能域,Psychopath,精神变态,2,,冷血
灵能域,VTE_Eccentric,怪人,2,Research,怪才
灵能域,Occultist,神秘学家,2,Psy,玄学
灵能域,VTE_MadSurgeon,疯医,1,Medical,玄医
