特性A,特性A中文,特性B,特性B中文,冲突类型,声明来源,状态,归属/处理
Aesthete,唯美主义,Psychopath,精神变态,善恶对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Ascetic,禁欲主义,HSK_Glutton,暴食者,语义冲突, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
Ascetic,禁欲主义,VTE_FunLoving,贪玩,生活哲学, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
Bipolar,极端,Nerves,心理坚韧,精神对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Bipolar,极端,Tough,粗暴,精神对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Bloodlust,嗜血,Delicate,脆弱,善恶对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Bloodlust,嗜血,Fragile,脆弱,善恶对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Bloodlust,嗜血,HSK_Meditator,禅修者,语义冲突, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
Bloodlust,嗜血,Kind,善良,善恶对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
Brawler,好斗,Weak,柔弱,怯懦对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Butcher,屠夫,VTE_AnimalLover,动物爱好者,亲疏对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
Cannibal,食人癖,Kind,善良,善恶对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
ColdLover,低温嗜好,VTE_HeatInclined,嗜热,冷热对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
Confident,自信,VTE_Desensitized,冷漠,情绪对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Confident,自信,VTE_WorldWeary,厌世,情绪对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
DeepSleeper,沉眠者,QuickSleeper,睡眠轻浅,作息对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
DeepSleeper,沉眠者,VTE_Insomniac,失眠症,作息对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
EatingSpeed,狼吞虎咽,Slow,缓慢,进食对立, / 补充语义,已做(补丁双向声明),特性拓展mod ConflictingTraits_*.xml 双向 conflictingTraits 声明
Extrovert,外向,Recluse,孤僻,社性对立, / 补充语义,需要做,补充:向双方TraitDef双向加装 conflictingTraits + 生成期兜底校验
Gourmand,美食家,HSK_HealthNut,养生者,语义冲突, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
HSK_Bookworm,书虫,Ignorant,愚笨,语义冲突, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
HSK_Bookworm,书虫,VTE_Dunce,白痴,语义冲突, / HSK自定义,需要做,写入HSK_* TraitDef 的 conflictingTraits
