行为维度,数据源,触发说明,正向阈值,正向特性,负向阈值,负向特性,冷却天数,冲突处理,授予概率
园艺,PlantWork/成熟作物收获,监管作物健康成长与收获,240次成熟收获,BrownThumb:1,--,--,365,正负同特质不同程度;与Aptitude/Rockhound冲突,0.05
屠宰,JobDef.ButcherCorpse,频繁屠宰人/动物尸体,80次,Butcher,--,--,365,与AnimalLover/Aptitude/Naive/Ignorant冲突,0.05
看电视,JoyKind.Television,长时间观看电视娱乐,480次观看,VTE_CouchPotato,--,--,365,DrugDesire不冲突,0.05
饮酒,享乐消费Alcohol,长期饮酒,200次,VTE_Lush,--,--,365,与DrugDesire冲突,0.06
吸烟,享乐消费Smokeleaf,长期吸烟,200次,VTE_Stoner,--,--,365,与DrugDesire冲突,0.06
药物滥用,享乐消费硬drug,长期药物滥用,200次,DrugDesire:1,--,--,365,与Teetotaler冲突,0.06
制药/化学,JobDef.DoBills(Drug),长期高效制药,80次,Chemist,--,--,365,与Aptitude/Ignorant冲突,0.05
烹饪,JobDef.CookFood,长期优秀烹饪,160道菜肴,Gourmet,--,--,365,与Aptitude/Ignorant冲突,0.05
研究,JobDef.Research,长期高效研究,60次研究节点,Inventor,--,--,365,与Aptitude/Ignorant/Dumb冲突,0.05
医疗,JobDef.Doctor,长期成功治疗,80次救治,Medic:1,--,--,365,与Ignorant冲突;疯医改由"残忍手术"独立计数授予,0.05
手工/工匠,手工制作,长期优质手作,100件品质以上,Perfectionist,--,--,365,与Industriousness/Aptitude冲突,0.05
清洁/整洁,JobDef.Clean,长期保持整洁,80次清洁,NeatFreak,--,--,365,邋遢为"长期不清洁"无法用同一计数器测量、已移除负向分支,0.05
建造,Construction,长期基建,100次,VTE_Groundbreaker,--,--,365,--,0.05
岩矿,JobDef.Mine,长期采掘,120次采掘,Rockhound,--,--,365,幽闭恐惧无法由采矿次数推出、已移除负向分支,0.05
近战,JobDef.AttackMelee,长期近战实战,80次,VTE_MartialArtist,--,--,365,胆小无法由参战次数推出、已移除负向分支,0.05
闪避/肉搏,遭受近战攻击,长期实战高闪避,80次挨打,Dodging:1,--,--,365,笨拙与闪避同源计数会互斥误授、已移除负向分支,0.05
射击,JobDef.AttackRanged,长期射击,100次远程攻击,ShootingAccuracy:1,--,--,365,视力与命中同源计数会互斥误授、已移除负向分支,0.05
击杀人类,ThingDied(攻击者=本小人),长期杀戮,25人,Bloodlust,--,--,365,与Kind/Psychopath处理,0.05
残忍手术,器官摘取/刑讯,长期残忍,40次,VTE_MadSurgeon,--,--,365,--,0.05
情爱,频繁lovin/换伴侣,长时间亲密关系,40次,VTE_Insatiable,--,--,365,与VTE_Prude冲突,0.05
社交闲聊,高频社交,长时间社交,100次愉快社交,Kind,--,--,365,忧虑与社交同源计数会互斥误授、已移除负向分支,0.05
商贸/谈判,JobDef.Trade,长期贸易谈判,60次成功交易,Trader:1,--,--,365,与Abrasive/AnnoyingVoice/CreepyBreathing冲突;被坑次数无独立数据源、移除负向,0.05
外交,JobDef.Negotiate,长期外交,60次成功调解,Diplomat:1,--,--,365,与Abrasive/AnnoyingVoice冲突,0.05
动物,畜牧/驯化,长期与动物相处,80次,VTE_AnimalLover,--,--,365,仇兽改由"虐待动物"独立计数授予,0.05
动物虐待,屠宰宠物/贩卖役畜/猎杀 bonded,长期虐待与杀害动物,40次,VTE_AnimalHater,--,--,365,与VTE_AnimalLover互斥,0.02
偷窃,JobDef.Steal,长期偷窃,60次,VTE_Kleptomaniac,--,--,365,--,0.02
餐饮讲究,高品质饮食,偏好精细饮食,100次,Gourmet,--,--,365,与VTE_RefinedPalate合并,0.05
战后创伤,目睹队友死亡等,经历重大创伤,20次创伤,VTE_Desensitized,--,--,365,--,0.03
耐痛/战场,长期负伤仍战,长期受创不屈,30次重伤仍作战,PainThreshold:1,--,--,365,懦夫由"崩溃次数"负向路径体现、移除同源负向,0.04
