类型,键,变体,文本
Head,nightshift,1,修发电机的
Scene,nightshift,1,{PAWN_nameDef}先拔掉烧黑的保险丝，然后从铁皮盒里摸出一根新的拧上去，接着把半锅冷粥倒进自己碗里。白天{PAWN_nameDef}走到哪儿都想蹲着打盹，夜里听见发电机响就站起来。
Head,nightshift,2,值后半夜的
Scene,nightshift,2,{PAWN_nameDef}先把最后一扇门的插销挨个推到底，然后拎起水桶把井绳放下去，接着坐回哨位上等天亮。别人换班时来叫{PAWN_objective}，{PAWN_nameDef}说自己不困。
Head,nightshift,3,夜里不躺下的
Scene,nightshift,3,{PAWN_nameDef}先把工作台的灯扭亮，然后剥开一罐桃子的铁皮盖，接着把没缝完的袖子继续缝下去。早上{PAWN_nameDef}的床铺还是叠好的样子。
Head,nightshift,4,抢夜班名单的
Scene,nightshift,4,{PAWN_nameDef}先在排班板上把自己的名字挪到后半夜，然后去检查了一遍柴堆的苫布，接着把厨房的剩饭收走吃了。天亮收工时{PAWN_nameDef}反而最精神。
Head,dawnshift,1,第一个起身的
Scene,dawnshift,1,{PAWN_nameDef}先在冻硬的水桶上敲掉冰壳，然后把自己裹紧走到畜栏边添料，接着把炉子重新塞满柴。天光还没铺开，{PAWN_nameDef}已经做完三件事了。
Head,dawnshift,2,扫院子的
Scene,dawnshift,2,{PAWN_nameDef}先拿起门后的扫帚把走道扫了一遍，然后把晾在外面的衣物收进屋，接着蹲在苗床边看昨夜的风向。有人早上起来以为{PAWN_nameDef}整晚没睡。
Head,dawnshift,3,天没亮就开火的
Scene,dawnshift,3,{PAWN_nameDef}先摸黑把锅架到炉子上，然后切了两块咸肉丢进去，接着把面包分好摆在桌上。饭香把别人叫起来时{PAWN_nameDef}已经吃完了。
Head,dawnshift,4,趁凉快干活的
Scene,dawnshift,4,{PAWN_nameDef}先把要搬的石箱挪到走道口，然后去把水车的轴承紧了，接着才开始吃自己那份早餐。太阳升高以后{PAWN_nameDef}就没多少力气了。
Head,gardening,1,蹲在苗床边的
