defName,中文名,英文名,来源,程度数,常见度,类别,倾向,冲突特质,全程度,加成/惩罚,描述,因果经历标签
Religious,虔诚,religious,核SK,1,0.4,信仰类,中性,狂热者、信徒、Psychopath、花心、胡思乱想、精神分裂症,religious,"statOffsets:MentalBreakThreshold;statFactors:CertaintyLossFactor,SocialIdeoSpreadFrequencyFactor",{PAWN_nameDef} has found faith and peace of mind in {PAWN_possessive} religion and is more prepared ,
Faith,信念坚定,faith,鼠族,1,0.001,信仰类,正面,致命射手、Wimp,faith,"statOffsets:PainShockThreshold,MentalBreakThreshold",{PAWN_nameDef}의 믿음은 확고합니다. 그 어떤 힘든 상황에서도 {PAWN_objective} 움직일 수 있게 해줍니다.,
AIPawn_BaseTrait,机器人,Android,核SK,1,0.001,其他,中性,,Android,statOffsets:,{PAWN_nameDef} is an android. As an android {PAWN_pronoun} is a bit faster and not really sensible f,
AIRobot_BaseTrait,机器人,Robot,核SK,1,0.001,其他,中性,,Robot,statOffsets:,{PAWN_nameDef} is an robot. As a robot {PAWN_pronoun} is a bit faster and not really sensible for ps,
Aesthete,唯美主义,aesthete,核SK,1,0.35,其他,中性,Ascetic、Psychopath,aesthete,,"{PAWN_nameDef} loves beautiful things, and really cares about how {PAWN_possessive} enviroment looks",
Allergic,厌恶动物,animal hater,核SK,1,0.25,其他,中性,喜欢动物,animal hater,"statOffsets:AnimalGatherSpeed,AnimalGatherYield,TameAnimalChance,TrainAnimalChance","{PAWN_nameDef} just isn't an ""animal person."" {PAWN_pronoun} doesn't like animals, and for the recor",
Aptitude,协调,inept,核SK,2,0.55,其他,中性,Industriousness、园艺高手、建筑工、屠夫、化学家、幽闭恐惧症、美食家、发明家、完美主义者、岩石猎手、Nimble,inept / coordinated,"statOffsets:WorkSpeedGlobal,ButcheryMechanoidEfficiency,ButcheryMechanoidSpeed,ConstructionSpeed,ConstructSuccessChance,FixBrokenDownBuildingSuccessChance","{PAWN_pronoun} means well, but {PAWN_nameDef} is uncoordinated, and just not very good at any sort o",
Ascetic,禁欲主义,ascetic,原版Core,1,0.7,其他,中性,Greedy、Jealous、Gourmand,ascetic,statFactors:CertaintyLossFactor,"{PAWN_nameDef} has forsaken physical comforts and enjoyments in favor of a simple, pure lifestyle. {",
Asexual,无性恋,asexual,原版Core,1,0.2,其他,中性,,asexual,,{PAWN_nameDef} has no sexual attraction to anyone at all.,
Beauty,魅力,beautiful,原版Core,4,2,其他,中性,,beautiful / pretty / ugly / staggeringly ugly,statOffsets:PawnBeauty,"[PAWN_nameDef] is exceptionally beautiful, with an exotic-yet-familiar facial structure and an arres",
Bipolar,极端,bipolar,核SK,1,0.25,其他,中性,NaturalMood、命定领袖、Nerves、粗暴,bipolar,,"{PAWN_nameDef} is prone to extreme mood swings. When {PAWN_pronoun}'s happy, {PAWN_pronoun} can be v",
Bisexual,双性恋,bisexual,原版Core,1,0.2,其他,中性,,bisexual,,{PAWN_nameDef} is romantically attracted to both men and women.,
BodyPurist,身体纯净,body purist,原版Core,1,0.7,其他,中性,Transhumanist,body purist,,"{PAWN_nameDef} believes the human body is limited for a reason. To {PAWN_objective}, artificial body",
BrownThumb,园艺高手,brown thumb,核SK,2,0.75,其他,中性,协调、岩石猎手,brown thumb / green thumb,"statOffsets:PlantHarvestYield,PlantWorkSpeed",{PAWN_nameDef} is a terrible gardener. The only thing {PAWN_pronoun} seems able to grow is weeds.,
Butcher,屠夫,butcher,核SK,1,0.3,其他,中性,喜欢动物、协调、天真、愚笨,butcher,"statOffsets:ButcheryFleshEfficiency,ButcheryFleshSpeed,ButcheryMechanoidEfficiency,ButcheryMechanoidSpeed",{PAWN_nameDef} enjoys preparing meat for cooking. {PAWN_possessive} butchering speed is greatly incr,
Chemist,化学家,chemist,核SK,1,0.25,其他,中性,协调、愚笨,chemist,"statOffsets:DrugCookingSpeed,CookSpeed,DrugSynthesisSpeed","{PAWN_nameDef} has a knack for organic chemistry, and is quite an efficient worker when brewing or p",
Claustrophobic,幽闭恐惧症,claustrophobic,核SK,1,0.2,其他,中性,协调、岩石猎手,claustrophobic,"statOffsets:MiningSpeed,MiningYield","{PAWN_nameDef} is claustrophobic. {PAWN_pronoun} is terrified of tight spaces, and thus is not a ver",
Confident,自信,confident,核SK,1,0.4,其他,中性,偏执、恶棍、冷漠、厌世,confident,statOffsets:MentalBreakThreshold,{PAWN_nameDef} is fairly confident that everything is going to be alright.,
Constitution,强健,weak constitution,核SK,2,0.8,其他,中性,柔弱、强壮,weak constitution / strong constitution,"statOffsets:ImmunityGainSpeed,ToxicResistance,GermResistance","{PAWN_nameDef} is especially vulnerable to diseases, pathogens and toxic fallout.",
Cultist,信徒,cultist,核SK,1,0.15,其他,中性,PsychicSensitivity、虔诚、狂热者、Psychopath,cultist,statOffsets:PsychicSensitivity,{PAWN_nameDef} has heard the call constantly since {PAWN_pronoun} was young. {PAWN_pronoun} has foll,
DIY,建筑工,builder,核SK,1,0.4,其他,中性,协调、愚笨、Abrasive,builder,"statOffsets:ConstructionSpeed,ConstructSuccessChance,GeneralLaborSpeed","{PAWN_nameDef} loved playing with construction toys as a child, and still enjoys the thrill of ""putt",
Delicate,脆弱,delicate,原版Biotech,1,1,其他,中性,Bloodlust,delicate,statFactors:IncomingDamageFactor,{PAWN_nameDef} has fragile skin and bones. {PAWN_pronoun} takes more damage than other people from t,
Diplomat,外交大师,uncouth,核SK,3,1,其他,中性,Abrasive、AnnoyingVoice、CreepyBreathing、愚笨,uncouth / diplomat / master diplomat,"statOffsets:NegotiationAbility,SocialImpact",Subtlety? Diplomacy? {PAWN_nameDef} barely even understands the meaning of the words.,
DislikesMen,厌恶男性,misandrist,原版Core,1,0.3,其他,中性,,misandrist,,{PAWN_nameDef} really dislikes and distrusts men.,
DislikesWomen,厌恶女性,misogynist,原版Core,1,1.7,其他,中性,,misogynist,,{PAWN_nameDef} really dislikes and distrusts women.,
Disturbing,令人不安,disturbing,原版Anomaly,1,0,其他,中性,,disturbing,,{PAWN_nameDef} is a peculiar person who seems fixated on horrendous ideas. Talking to {PAWN_objectiv,
Dodging,反应迅捷,sluggish,核SK,2,0.8,其他,中性,Nimble、缓慢、强壮、柔弱,sluggish / swift reflexes,statOffsets:MeleeDodgeChance,{PAWN_nameDef} is not very good at getting out of the way of blows.,
Dumb,傻子,dumb,核SK,1,0.15,其他,中性,怪才、愚笨、发明家、FastLearner、SlowLearner、TooSmart,dumb,"statOffsets:GlobalLearningFactor,WorkSpeedGlobal","{PAWN_nameDef} isn't the sharpest tool in the shed, but that hasn't stopped {PAWN_objective} from ge",
EatingSpeed,狼吞虎咽,nibbler,核SK,2,0.4,其他,中性,缓慢,nibbler / glutton,statOffsets:EatingSpeed,"{PAWN_nameDef} picks at {PAWN_possessive} food, taking extra time to finish {PAWN_possessive} meals.",
Extrovert,外向,extrovert,核SK,1,0.4,其他,中性,害羞、无情,extrovert,statFactors:SocialIdeoSpreadFrequencyFactor,{PAWN_nameDef} is exceptionally friendly.,
Eyesight,鹰眼,near-sighted,核SK,2,0.4,其他,中性,致命射手、格斗者,near-sighted / eagle-eyed,"statOffsets:ShootingAccuracyPawn,WorkSpeedGlobal",{PAWN_nameDef} has a hard time seeing things clearly unless {PAWN_pronoun} is relatively close to th,
Fanatic,狂热者,fanatic,核SK,1,0.35,其他,中性,虔诚、信徒、Psychopath、天真,fanatic,"statOffsets:MentalBreakThreshold;statFactors:CertaintyLossFactor,SocialIdeoSpreadFrequencyFactor",{PAWN_nameDef} has found religon and is prepared to do what ever is required to make others accept i,
Fragile,脆弱,fragile,核SK,1,0.35,其他,中性,粗暴、Bloodlust,fragile,statFactors:IncomingDamageFactor,"{PAWN_nameDef} has thin skin, weak flesh, and fragile bones. {PAWN_pronoun} takes more damage than o",
Gay,同性恋,gay,原版Core,1,0.3,其他,中性,,gay,,{PAWN_nameDef} is romantically attracted to people of {PAWN_possessive} own gender.,
Gourmand,美食家,gourmand,原版Core,1,1.0,其他,中性,Ascetic,gourmand,,"{PAWN_nameDef}'s life revolves around food. {PAWN_pronoun} gets hungry quickly, and will occasionall",
HSK_Bookworm,书虫,bookworm,HSK,1,0,其他,中性,白痴、愚笨,bookworm,statFactors:ResearchSpeed,"{PAWN_nameDef} is never far from a book. {PAWN_possessive} mind, fed by constant study, reaches for ",
